non_sign_count_rmann_whitney,non_sign_count_rt_test,sign_count_rmann_whitney,sign_count_rt_test,non_sign_share_rmann_whitney,non_sign_share_rt_test,sign_share_rmann_whitney,sign_share_rt_test,n_largest_rmann_whitney,n_largest_rt_test,n_smallest_rmann_whitney,n_smallest_rt_test,non_sign_list_rmann_whitney,non_sign_list_rt_test,sign_list_rmann_whitney,sign_list_rt_test
5.0,4.0,1.0,0.0,0.7142857142857143,0.5714285714285714,0.14285714285714285,0.0,"[[0.904002937048263 'L5IN']
 [0.07873976938393498 'L2PC']
 [0.014990704456046661 'L2IN']]","[[0.21862916043377845 'L2PC']
 [0.180160743785211 'L2IN']
 [0.08343961614232423 'Amygdala']]","[[5.36791383986286e-13 'L5FS']
 [2.724942100122458e-06 'CA1PC']
 [6.60800544472068e-05 'Amygdala']]","[[5.618868969888007e-19 'L5FS']
 [4.707324201343891e-05 'CA1PC']
 [0.02189365612334181 'L5PC']]","['L5FS', 'L2IN', 'L5PC', 'Amygdala', 'CA1PC']","['L5FS', 'L5PC', 'L5IN', 'CA1PC']",['L5IN'],[]
5.0,2.0,0.0,1.0,0.7142857142857143,0.2857142857142857,0.0,0.14285714285714285,"[[0.7147632437125736 'L5IN']
 [0.29508099594934023 'L2PC']
 [0.02793773758555266 'L2IN']]","[[0.8632748034472063 'L5IN']
 [0.754025827060308 'L2PC']
 [0.6089933500675441 'L5PC']]","[[9.464886257663456e-16 'L5FS']
 [1.2086679017148259e-07 'Amygdala']
 [5.835871974736696e-06 'CA1PC']]","[[8.669647100994951e-08 'L5FS']
 [0.0006599735787241685 'CA1PC']
 [0.10669306507369983 'Amygdala']]","['L5FS', 'L2IN', 'L5PC', 'Amygdala', 'CA1PC']","['L5FS', 'CA1PC']",[],['L5IN']
2.0,3.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.0,0.0,"[[0.2582749287462277 'L2IN']
 [0.11292708573172668 'L5PC']
 [0.07663164882112057 'L5IN']]","[[0.3844499673530267 'L2PC']
 [0.32803522466328494 'Amygdala']
 [0.30137506249141466 'CA1PC']]","[[0.0005546357766646428 'Amygdala']
 [0.010694802919108397 'CA1PC']
 [0.055102195257870204 'L5FS']]","[[7.017442667083913e-05 'L5FS']
 [0.0018081222429874005 'L2IN']
 [0.008419985556794447 'L5IN']]","['Amygdala', 'CA1PC']","['L5FS', 'L2IN', 'L5IN']",[],[]
5.0,2.0,1.0,1.0,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.14285714285714285,"[[0.8083123771615461 'L2IN']
 [0.09169532695069428 'L2PC']
 [0.015638506283816658 'L5IN']]","[[0.8724881481704779 'L2IN']
 [0.5405391725867246 'L5PC']
 [0.4139168651043428 'L2PC']]","[[1.8512324964653306e-10 'L5FS']
 [2.437665828120105e-06 'L5PC']
 [2.2805579555406693e-05 'Amygdala']]","[[1.983380013820372e-09 'L5FS']
 [2.3259379122809646e-06 'L5IN']
 [0.24999723668014834 'Amygdala']]","['L5FS', 'L5PC', 'L5IN', 'Amygdala', 'CA1PC']","['L5FS', 'L5IN']",['L2IN'],['L2IN']
5.0,4.0,1.0,0.0,0.7142857142857143,0.5714285714285714,0.14285714285714285,0.0,"[[0.8549075908181806 'L2IN']
 [0.09182073816578919 'L5IN']
 [0.030111119545209498 'Amygdala']]","[[0.5369072969937472 'Amygdala']
 [0.446438067948588 'CA1PC']
 [0.11322184048937227 'L2PC']]","[[1.3119054453297355e-08 'L5PC']
 [8.590624400913937e-08 'L5FS']
 [7.703893368211191e-05 'CA1PC']]","[[1.9235981949643888e-11 'L2IN']
 [8.046822749234731e-05 'L5FS']
 [0.0027690641699447405 'L5PC']]","['L5FS', 'L5PC', 'L2PC', 'Amygdala', 'CA1PC']","['L5FS', 'L2IN', 'L5PC', 'L5IN']",['L2IN'],[]
4.0,4.0,1.0,1.0,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.14285714285714285,"[[0.819241474261962 'L2IN']
 [0.11757090488026477 'Amygdala']
 [0.07982973731810943 'L5IN']]","[[0.9238662661750793 'CA1PC']
 [0.5244617215046845 'Amygdala']
 [0.05238214047072695 'L2PC']]","[[2.0403689123637937e-08 'L5PC']
 [1.1034489507604462e-07 'L5FS']
 [0.000527823429614917 'CA1PC']]","[[2.1077810668891005e-06 'L5FS']
 [0.00019708622623478955 'L2IN']
 [0.0007798460915802128 'L5IN']]","['L5FS', 'L5PC', 'L2PC', 'CA1PC']","['L5FS', 'L2IN', 'L5PC', 'L5IN']",['L2IN'],['CA1PC']
1.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,"[[0.5930418614213933 'L5FS']
 [0.58003160599876 'L5IN']
 [0.5369819464343187 'CA1PC']]","[[0.4013630866886574 'L2PC']
 [0.3674323780422122 'L2IN']
 [0.16506940477894277 'Amygdala']]","[[0.03711692886869361 'L2PC']
 [0.06723765326928598 'L2IN']
 [0.47012795068843705 'Amygdala']]","[[0.16501766994588402 'L5FS']
 [0.16502217655835447 'L5IN']
 [0.16503860807177412 'CA1PC']]",['L2PC'],[],[],[]
1.0,4.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.0,0.0,"[[0.7898710715979311 'L2IN']
 [0.5627148715804811 'L5FS']
 [0.4514657720187647 'L5PC']]","[[0.7523575569754402 'L2PC']
 [0.7028146836183224 'L5IN']
 [0.5806960495231293 'L2IN']]","[[0.012710629279466203 'CA1PC']
 [0.11393901241672219 'L5IN']
 [0.12078226677935758 'L2PC']]","[[0.01118617999870289 'Amygdala']
 [0.01697421541755183 'L5PC']
 [0.028281831771021296 'L5FS']]",['CA1PC'],"['L5FS', 'L5PC', 'Amygdala', 'CA1PC']",[],[]
6.0,5.0,0.0,0.0,0.8571428571428571,0.7142857142857143,0.0,0.0,"[[0.3939595366912212 'L2IN']
 [0.011055846548969003 'L5IN']
 [8.769491817395912e-05 'L5PC']]","[[0.6935493655382834 'L5IN']
 [0.09040973807847415 'CA1PC']
 [0.02484402535490144 'L2IN']]","[[7.05976955653527e-20 'L5FS']
 [6.07329879473071e-10 'Amygdala']
 [4.198207471064566e-06 'L2PC']]","[[1.1025678394057509e-19 'L5FS']
 [1.5052155651432266e-17 'L2PC']
 [2.290169999477705e-17 'Amygdala']]","['L5FS', 'L5PC', 'L2PC', 'L5IN', 'Amygdala', 'CA1PC']","['L5FS', 'L2IN', 'L5PC', 'L2PC', 'Amygdala']",[],[]
6.0,4.0,0.0,0.0,0.8571428571428571,0.5714285714285714,0.0,0.0,"[[0.6197066762712127 'L2IN']
 [0.011763640121313264 'L5IN']
 [0.00030423026823763106 'L5PC']]","[[0.6453324254254085 'L5IN']
 [0.1453987645452917 'CA1PC']
 [0.07611443512850911 'L2IN']]","[[6.439094434336155e-20 'L5FS']
 [1.0102534531723231e-13 'Amygdala']
 [7.545359981188376e-06 'CA1PC']]","[[6.001752785200311e-24 'L5FS']
 [1.4413110139118077e-19 'Amygdala']
 [1.7781370506049823e-16 'L2PC']]","['L5FS', 'L5PC', 'L2PC', 'L5IN', 'Amygdala', 'CA1PC']","['L5FS', 'L5PC', 'L2PC', 'Amygdala']",[],[]
