,feature_value,id,feature
579,-19.20400905792433,631_1,idrest_first_AP_voltage_stim_175
51,-18.28864491427105,103_1,idrest_first_AP_voltage_stim_200
121,-12.588179813861966,176_1,idrest_first_AP_voltage_stim_200
172,-1.7699404205178362,216_2,idrest_first_AP_voltage_stim_200
249,-18.411111684917365,293_1,idrest_first_AP_voltage_stim_200
251,-18.26830946487224,295_1,idrest_first_AP_voltage_stim_200
336,-13.420334410452597,380_1,idrest_first_AP_voltage_stim_200
388,-19.748404391891142,435_1,idrest_first_AP_voltage_stim_200
415,-16.510615478050166,464_1,idrest_first_AP_voltage_stim_200
525,-17.78041447406627,575_1,idrest_first_AP_voltage_stim_200
529,-16.8725962648847,579_1,idrest_first_AP_voltage_stim_200
534,-19.253634409039854,585_1,idrest_first_AP_voltage_stim_200
568,-16.9576397496517,620_1,idrest_first_AP_voltage_stim_200
571,-18.30409496343116,623_1,idrest_first_AP_voltage_stim_200
579,-15.542249166536628,631_1,idrest_first_AP_voltage_stim_200
51,-15.236563716641196,103_1,idrest_first_AP_voltage_stim_225
121,-9.39687535924067,176_1,idrest_first_AP_voltage_stim_225
134,-17.53633467298835,186_1,idrest_first_AP_voltage_stim_225
172,-4.336255732397678,216_2,idrest_first_AP_voltage_stim_225
249,-17.33169667600353,293_1,idrest_first_AP_voltage_stim_225
251,-13.23175025266249,295_1,idrest_first_AP_voltage_stim_225
336,-12.46570161918022,380_1,idrest_first_AP_voltage_stim_225
363,-15.470872808145309,409_1,idrest_first_AP_voltage_stim_225
374,-19.200249016820862,421_1,idrest_first_AP_voltage_stim_225
388,-19.54230765945376,435_1,idrest_first_AP_voltage_stim_225
403,-17.872624388645598,450_1,idrest_first_AP_voltage_stim_225
415,-15.494642702914934,464_1,idrest_first_AP_voltage_stim_225
521,-19.49246256052666,571_1,idrest_first_AP_voltage_stim_225
525,-15.626248995660516,575_1,idrest_first_AP_voltage_stim_225
529,-17.237981080979473,579_1,idrest_first_AP_voltage_stim_225
533,-18.461396729107303,584_1,idrest_first_AP_voltage_stim_225
534,-19.12716352967737,585_1,idrest_first_AP_voltage_stim_225
568,-17.520782228187567,620_1,idrest_first_AP_voltage_stim_225
579,-13.642547800336176,631_1,idrest_first_AP_voltage_stim_225
51,-12.139550710945835,103_1,idrest_first_AP_voltage_stim_250
121,-6.673749906879627,176_1,idrest_first_AP_voltage_stim_250
134,-14.6847965724114,186_1,idrest_first_AP_voltage_stim_250
197,-19.96720470529173,238_1,idrest_first_AP_voltage_stim_250
212,-18.61627656834076,254_1,idrest_first_AP_voltage_stim_250
223,-18.07808479112439,265_1,idrest_first_AP_voltage_stim_250
249,-14.808749647344442,293_1,idrest_first_AP_voltage_stim_250
251,-10.98313257563975,295_1,idrest_first_AP_voltage_stim_250
336,-10.28172191107122,380_1,idrest_first_AP_voltage_stim_250
341,-19.96720470529173,386_1,idrest_first_AP_voltage_stim_250
363,-17.53437448003922,409_1,idrest_first_AP_voltage_stim_250
374,-15.89687477214656,421_1,idrest_first_AP_voltage_stim_250
403,-19.27776126675802,450_1,idrest_first_AP_voltage_stim_250
415,-15.506925157903822,464_1,idrest_first_AP_voltage_stim_250
454,-15.058472831019284,503_1,idrest_first_AP_voltage_stim_250
456,-19.356636728669493,505_1,idrest_first_AP_voltage_stim_250
466,-19.471873688801946,515_1,idrest_first_AP_voltage_stim_250
521,-19.70846833315329,571_1,idrest_first_AP_voltage_stim_250
525,-15.919584547882192,575_1,idrest_first_AP_voltage_stim_250
529,-16.981597079428898,579_1,idrest_first_AP_voltage_stim_250
533,-18.620516748249063,584_1,idrest_first_AP_voltage_stim_250
557,-1.2156257566513045,609_1,idrest_first_AP_voltage_stim_250
568,-18.21551349712372,620_1,idrest_first_AP_voltage_stim_250
579,-14.141163417510992,631_1,idrest_first_AP_voltage_stim_250
580,-16.057500907835482,632_1,idrest_first_AP_voltage_stim_250
629,-19.79447119495023,761_1,idrest_first_AP_voltage_stim_250
30,-18.506666619018304,82_1,idrest_first_AP_voltage_stim_275
51,-10.947778615734094,103_1,idrest_first_AP_voltage_stim_275
121,-4.214583231879183,176_1,idrest_first_AP_voltage_stim_275
134,-8.346030617762882,186_1,idrest_first_AP_voltage_stim_275
197,-19.26970288779737,238_1,idrest_first_AP_voltage_stim_275
212,-18.269453929573555,254_1,idrest_first_AP_voltage_stim_275
217,-19.035485417513645,259_1,idrest_first_AP_voltage_stim_275
223,-16.537037379645085,265_1,idrest_first_AP_voltage_stim_275
237,-18.789912561192263,279_1,idrest_first_AP_voltage_stim_275
243,-19.79769711493644,286_1,idrest_first_AP_voltage_stim_275
249,-14.420872647086302,293_1,idrest_first_AP_voltage_stim_275
251,-5.944293652068801,295_1,idrest_first_AP_voltage_stim_275
336,-8.480644595863792,380_1,idrest_first_AP_voltage_stim_275
341,-19.26970288779737,386_1,idrest_first_AP_voltage_stim_275
363,-15.833553439203603,409_1,idrest_first_AP_voltage_stim_275
365,-19.22463178725545,411_1,idrest_first_AP_voltage_stim_275
374,-13.669117508294418,421_1,idrest_first_AP_voltage_stim_275
388,-19.80685968739085,435_1,idrest_first_AP_voltage_stim_275
415,-14.16503887148043,464_1,idrest_first_AP_voltage_stim_275
440,-19.54869740249763,489_1,idrest_first_AP_voltage_stim_275
456,-19.02345425339441,505_1,idrest_first_AP_voltage_stim_275
466,-17.441319671525335,515_1,idrest_first_AP_voltage_stim_275
520,-18.403312964473823,570_1,idrest_first_AP_voltage_stim_275
521,-19.698959292649008,571_1,idrest_first_AP_voltage_stim_275
525,-14.541991762658249,575_1,idrest_first_AP_voltage_stim_275
529,-16.813763840472376,579_1,idrest_first_AP_voltage_stim_275
533,-19.56293107344686,584_1,idrest_first_AP_voltage_stim_275
534,-19.144011413037216,585_1,idrest_first_AP_voltage_stim_275
557,-19.97499948472873,609_1,idrest_first_AP_voltage_stim_275
558,-19.77468732539872,610_1,idrest_first_AP_voltage_stim_275
568,-17.200765628260047,620_1,idrest_first_AP_voltage_stim_275
579,-12.614431754280762,631_1,idrest_first_AP_voltage_stim_275
640,-17.791965691509592,772_1,idrest_first_AP_voltage_stim_275
646,-18.650117973609397,778_1,idrest_first_AP_voltage_stim_275
30,-17.199616030276577,82_1,idrest_first_AP_voltage_stim_300
51,-6.893563360849237,103_1,idrest_first_AP_voltage_stim_300
121,-1.7795453568637587,176_1,idrest_first_AP_voltage_stim_300
134,-8.123625038995584,186_1,idrest_first_AP_voltage_stim_300
197,-14.745679057763049,238_1,idrest_first_AP_voltage_stim_300
212,-16.978749302796302,254_1,idrest_first_AP_voltage_stim_300
217,-16.770237657383753,259_1,idrest_first_AP_voltage_stim_300
223,-16.656493711607887,265_1,idrest_first_AP_voltage_stim_300
237,-19.867727746715268,279_1,idrest_first_AP_voltage_stim_300
242,-19.351432955749203,285_1,idrest_first_AP_voltage_stim_300
243,-18.019791707433384,286_1,idrest_first_AP_voltage_stim_300
249,-13.10637768147269,293_1,idrest_first_AP_voltage_stim_300
251,-2.373913125394157,295_1,idrest_first_AP_voltage_stim_300
255,-19.48361528474781,299_1,idrest_first_AP_voltage_stim_300
258,-17.661202906047418,301_1,idrest_first_AP_voltage_stim_300
336,-6.542376050969379,380_1,idrest_first_AP_voltage_stim_300
341,-14.745679057763049,386_1,idrest_first_AP_voltage_stim_300
363,-13.174999795101884,409_1,idrest_first_AP_voltage_stim_300
365,-19.862499063089796,411_1,idrest_first_AP_voltage_stim_300
366,-18.3234589473378,412_1,idrest_first_AP_voltage_stim_300
374,-11.209583599759569,421_1,idrest_first_AP_voltage_stim_300
388,-19.49680272963462,435_1,idrest_first_AP_voltage_stim_300
403,-19.434908568682545,450_1,idrest_first_AP_voltage_stim_300
415,-9.965798772425812,464_1,idrest_first_AP_voltage_stim_300
440,-17.450833735435012,489_1,idrest_first_AP_voltage_stim_300
456,-19.219803604958365,505_1,idrest_first_AP_voltage_stim_300
467,-12.115318732992172,516_1,idrest_first_AP_voltage_stim_300
469,-18.854799584870957,518_1,idrest_first_AP_voltage_stim_300
521,-19.244407341592183,571_1,idrest_first_AP_voltage_stim_300
525,-12.613068794419831,575_1,idrest_first_AP_voltage_stim_300
529,-15.976250830984457,579_1,idrest_first_AP_voltage_stim_300
533,-19.330849410216373,584_1,idrest_first_AP_voltage_stim_300
534,-18.55357093036745,585_1,idrest_first_AP_voltage_stim_300
557,-5.012502136137406,609_1,idrest_first_AP_voltage_stim_300
558,-18.9866670688186,610_1,idrest_first_AP_voltage_stim_300
566,-19.98209082879696,618_1,idrest_first_AP_voltage_stim_300
568,-18.097916068953605,620_1,idrest_first_AP_voltage_stim_300
571,-19.84413243399461,623_1,idrest_first_AP_voltage_stim_300
579,-12.20129333231959,631_1,idrest_first_AP_voltage_stim_300
580,-13.08172960585744,632_1,idrest_first_AP_voltage_stim_300
629,-17.871635361173663,761_1,idrest_first_AP_voltage_stim_300
646,-18.81718856340414,778_1,idrest_first_AP_voltage_stim_300
534,-15.9928576564308,585_1,idrest_second_AP_voltage_stim_50
529,-17.693646734831194,579_1,idrest_second_AP_voltage_stim_75
533,-8.902082513351559,584_1,idrest_second_AP_voltage_stim_75
534,-16.63750110912054,585_1,idrest_second_AP_voltage_stim_75
535,-3.7937497005155896,586_1,idrest_second_AP_voltage_stim_75
121,-17.118749717271832,176_1,idrest_second_AP_voltage_stim_100
172,-16.865979465655617,216_2,idrest_second_AP_voltage_stim_100
257,-8.403017075674477,300_2,idrest_second_AP_voltage_stim_100
529,-15.86710472448895,579_1,idrest_second_AP_voltage_stim_100
534,-13.5753462788722,585_1,idrest_second_AP_voltage_stim_100
558,-15.856249176842804,610_1,idrest_second_AP_voltage_stim_100
77,-16.938343953425683,121_1,idrest_second_AP_voltage_stim_125
91,-18.010370464131466,127_1,idrest_second_AP_voltage_stim_125
92,-18.010370464131466,128_1,idrest_second_AP_voltage_stim_125
93,-18.010370464131466,129_1,idrest_second_AP_voltage_stim_125
121,-13.677801787652712,176_1,idrest_second_AP_voltage_stim_125
172,-12.578931259667378,216_2,idrest_second_AP_voltage_stim_125
257,-10.930000150501584,300_2,idrest_second_AP_voltage_stim_125
525,-18.25849857964107,575_1,idrest_second_AP_voltage_stim_125
529,-14.132065384204278,579_1,idrest_second_AP_voltage_stim_125
91,-16.498639020923374,127_1,idrest_second_AP_voltage_stim_150
92,-16.498639020923374,128_1,idrest_second_AP_voltage_stim_150
93,-16.498639020923374,129_1,idrest_second_AP_voltage_stim_150
121,-11.533333194871268,176_1,idrest_second_AP_voltage_stim_150
172,-6.238192290796171,216_2,idrest_second_AP_voltage_stim_150
228,-16.68602795940335,270_1,idrest_second_AP_voltage_stim_150
440,-14.611646804093168,489_1,idrest_second_AP_voltage_stim_150
518,-12.412493008834108,568_1,idrest_second_AP_voltage_stim_150
525,-16.335855072859527,575_1,idrest_second_AP_voltage_stim_150
529,-16.37076299324102,579_1,idrest_second_AP_voltage_stim_150
533,-18.700692672405456,584_1,idrest_second_AP_voltage_stim_150
546,-19.70444531458905,598_1,idrest_second_AP_voltage_stim_150
562,-19.50624922450311,614_1,idrest_second_AP_voltage_stim_150
51,-18.533333173138335,103_1,idrest_second_AP_voltage_stim_175
58,-18.72240426005847,109_1,idrest_second_AP_voltage_stim_175
91,-15.431038542026322,127_1,idrest_second_AP_voltage_stim_175
92,-15.431038542026322,128_1,idrest_second_AP_voltage_stim_175
93,-15.431038542026322,129_1,idrest_second_AP_voltage_stim_175
121,-7.939625167936558,176_1,idrest_second_AP_voltage_stim_175
172,-6.227619767572585,216_2,idrest_second_AP_voltage_stim_175
249,-19.30502578331833,293_1,idrest_second_AP_voltage_stim_175
251,-19.93055601400342,295_1,idrest_second_AP_voltage_stim_175
264,-17.912846856772603,307_1,idrest_second_AP_voltage_stim_175
336,-12.260458660090867,380_1,idrest_second_AP_voltage_stim_175
388,-17.083905937243067,435_1,idrest_second_AP_voltage_stim_175
456,-17.099999840728376,505_1,idrest_second_AP_voltage_stim_175
518,-13.931249463588662,568_1,idrest_second_AP_voltage_stim_175
521,-19.679166283556818,571_1,idrest_second_AP_voltage_stim_175
525,-12.91679677474659,575_1,idrest_second_AP_voltage_stim_175
529,-16.54878206059328,579_1,idrest_second_AP_voltage_stim_175
533,-17.66780257398256,584_1,idrest_second_AP_voltage_stim_175
546,-19.04296835428068,598_1,idrest_second_AP_voltage_stim_175
558,-19.11380876172804,610_1,idrest_second_AP_voltage_stim_175
566,-16.492188476259734,618_1,idrest_second_AP_voltage_stim_175
567,-19.88124913343776,619_1,idrest_second_AP_voltage_stim_175
568,-4.71250102443656,620_1,idrest_second_AP_voltage_stim_175
569,-18.010000038602694,621_1,idrest_second_AP_voltage_stim_175
571,-17.88928594901732,623_1,idrest_second_AP_voltage_stim_175
51,-15.634175765557783,103_1,idrest_second_AP_voltage_stim_200
58,-17.866734124875606,109_1,idrest_second_AP_voltage_stim_200
64,-18.52390721431229,113_1,idrest_second_AP_voltage_stim_200
77,-19.835332185248237,121_1,idrest_second_AP_voltage_stim_200
91,-14.769004218681248,127_1,idrest_second_AP_voltage_stim_200
92,-14.769004218681248,128_1,idrest_second_AP_voltage_stim_200
93,-14.769004218681248,129_1,idrest_second_AP_voltage_stim_200
121,-4.696141140796796,176_1,idrest_second_AP_voltage_stim_200
134,-16.713290933572065,186_1,idrest_second_AP_voltage_stim_200
172,-2.685017760287536,216_2,idrest_second_AP_voltage_stim_200
229,-19.62489364852864,271_1,idrest_second_AP_voltage_stim_200
249,-17.249341880903266,293_1,idrest_second_AP_voltage_stim_200
251,-17.938393967843126,295_1,idrest_second_AP_voltage_stim_200
264,-14.27068413931262,307_1,idrest_second_AP_voltage_stim_200
374,-19.297916774781232,421_1,idrest_second_AP_voltage_stim_200
388,-18.22500002259099,435_1,idrest_second_AP_voltage_stim_200
415,-12.919515431767122,464_1,idrest_second_AP_voltage_stim_200
418,-12.128845720087902,467_1,idrest_second_AP_voltage_stim_200
456,-11.53160741668502,505_1,idrest_second_AP_voltage_stim_200
521,-19.664904672466957,571_1,idrest_second_AP_voltage_stim_200
524,-18.71145738482598,574_1,idrest_second_AP_voltage_stim_200
525,-10.718749009062403,575_1,idrest_second_AP_voltage_stim_200
529,-15.758552231705284,579_1,idrest_second_AP_voltage_stim_200
532,-19.419175750943307,583_1,idrest_second_AP_voltage_stim_200
533,-17.264705859853407,584_1,idrest_second_AP_voltage_stim_200
535,-6.428121253128544,586_1,idrest_second_AP_voltage_stim_200
546,-18.12840922286983,598_1,idrest_second_AP_voltage_stim_200
566,-15.997223021198428,618_1,idrest_second_AP_voltage_stim_200
567,-19.258749098215148,619_1,idrest_second_AP_voltage_stim_200
568,-9.411110805070344,620_1,idrest_second_AP_voltage_stim_200
569,-13.128999943777844,621_1,idrest_second_AP_voltage_stim_200
571,-16.0257215894911,623_1,idrest_second_AP_voltage_stim_200
35,-19.78100381925432,87_1,idrest_second_AP_voltage_stim_225
51,-12.77185342995319,103_1,idrest_second_AP_voltage_stim_225
58,-16.479649584026877,109_1,idrest_second_AP_voltage_stim_225
64,-17.40336932078384,113_1,idrest_second_AP_voltage_stim_225
77,-19.11097471763362,121_1,idrest_second_AP_voltage_stim_225
91,-13.7774126608145,127_1,idrest_second_AP_voltage_stim_225
92,-13.7774126608145,128_1,idrest_second_AP_voltage_stim_225
93,-13.7774126608145,129_1,idrest_second_AP_voltage_stim_225
121,-3.5098212372281896,176_1,idrest_second_AP_voltage_stim_225
134,-14.081464910464666,186_1,idrest_second_AP_voltage_stim_225
141,-18.28147727060108,190_1,idrest_second_AP_voltage_stim_225
172,-2.4109705777817028,216_2,idrest_second_AP_voltage_stim_225
197,-16.569572919444525,238_1,idrest_second_AP_voltage_stim_225
223,-18.431249357706992,265_1,idrest_second_AP_voltage_stim_225
229,-18.365288877559077,271_1,idrest_second_AP_voltage_stim_225
249,-15.916176700233118,293_1,idrest_second_AP_voltage_stim_225
251,-14.348051696024596,295_1,idrest_second_AP_voltage_stim_225
255,-19.572427029573195,299_1,idrest_second_AP_voltage_stim_225
258,-19.85845496771384,301_1,idrest_second_AP_voltage_stim_225
341,-16.569572919444525,386_1,idrest_second_AP_voltage_stim_225
361,-13.693750364768093,407_1,idrest_second_AP_voltage_stim_225
363,-15.119711341701292,409_1,idrest_second_AP_voltage_stim_225
365,-10.223863136610095,411_1,idrest_second_AP_voltage_stim_225
374,-15.483258698145404,421_1,idrest_second_AP_voltage_stim_225
388,-17.872656959312025,435_1,idrest_second_AP_voltage_stim_225
403,-19.79030152310701,450_1,idrest_second_AP_voltage_stim_225
415,-12.957102563843208,464_1,idrest_second_AP_voltage_stim_225
440,-19.356248813984525,489_1,idrest_second_AP_voltage_stim_225
456,-19.646229973617395,505_1,idrest_second_AP_voltage_stim_225
521,-18.662813699312213,571_1,idrest_second_AP_voltage_stim_225
525,-7.97999898975283,575_1,idrest_second_AP_voltage_stim_225
529,-15.411666995891055,579_1,idrest_second_AP_voltage_stim_225
532,-19.06375076565177,583_1,idrest_second_AP_voltage_stim_225
533,-16.348572015023787,584_1,idrest_second_AP_voltage_stim_225
535,-2.7412490662409503,586_1,idrest_second_AP_voltage_stim_225
544,-19.6885429730715,596_1,idrest_second_AP_voltage_stim_225
546,-15.46640701120126,598_1,idrest_second_AP_voltage_stim_225
557,-16.91696406313305,609_1,idrest_second_AP_voltage_stim_225
558,-18.79500042382191,610_1,idrest_second_AP_voltage_stim_225
566,-16.116384570750267,618_1,idrest_second_AP_voltage_stim_225
567,-16.793749522493282,619_1,idrest_second_AP_voltage_stim_225
568,-6.581249583340687,620_1,idrest_second_AP_voltage_stim_225
569,-11.8163688071249,621_1,idrest_second_AP_voltage_stim_225
571,-13.832639026385651,623_1,idrest_second_AP_voltage_stim_225
579,-15.770999114239808,631_1,idrest_second_AP_voltage_stim_225
638,-9.79624842663469,770_1,idrest_second_AP_voltage_stim_225
30,-18.280287588134534,82_1,idrest_second_AP_voltage_stim_250
35,-17.60774987276694,87_1,idrest_second_AP_voltage_stim_250
36,-18.3294385541979,88_1,idrest_second_AP_voltage_stim_250
51,-7.6209179248169105,103_1,idrest_second_AP_voltage_stim_250
58,-15.46027890414398,109_1,idrest_second_AP_voltage_stim_250
64,-15.891870821089045,113_1,idrest_second_AP_voltage_stim_250
77,-19.2384337842019,121_1,idrest_second_AP_voltage_stim_250
91,-13.460287066349704,127_1,idrest_second_AP_voltage_stim_250
92,-13.460287066349704,128_1,idrest_second_AP_voltage_stim_250
93,-13.460287066349704,129_1,idrest_second_AP_voltage_stim_250
134,-10.91458334805905,186_1,idrest_second_AP_voltage_stim_250
141,-19.758241638789144,190_1,idrest_second_AP_voltage_stim_250
197,-15.115865700633949,238_1,idrest_second_AP_voltage_stim_250
212,-17.869354946033546,254_1,idrest_second_AP_voltage_stim_250
217,-19.33980791255249,259_1,idrest_second_AP_voltage_stim_250
223,-14.265956903140118,265_1,idrest_second_AP_voltage_stim_250
229,-16.714651788162225,271_1,idrest_second_AP_voltage_stim_250
242,-18.245159024636337,285_1,idrest_second_AP_voltage_stim_250
243,-14.14303943492679,286_1,idrest_second_AP_voltage_stim_250
246,-19.07152849615109,289_1,idrest_second_AP_voltage_stim_250
249,-14.038529614686494,293_1,idrest_second_AP_voltage_stim_250
251,-11.946651750938706,295_1,idrest_second_AP_voltage_stim_250
255,-19.33054688278585,299_1,idrest_second_AP_voltage_stim_250
258,-19.187147197075515,301_1,idrest_second_AP_voltage_stim_250
336,-5.68883174419729,380_1,idrest_second_AP_voltage_stim_250
341,-15.115865700633949,386_1,idrest_second_AP_voltage_stim_250
346,-16.35692677980412,392_1,idrest_second_AP_voltage_stim_250
353,-19.515096847069504,399_1,idrest_second_AP_voltage_stim_250
361,-13.907316666513426,407_1,idrest_second_AP_voltage_stim_250
363,-10.812980589460633,409_1,idrest_second_AP_voltage_stim_250
365,-19.46239872033193,411_1,idrest_second_AP_voltage_stim_250
367,-19.627806245400624,413_1,idrest_second_AP_voltage_stim_250
374,-12.101077538231287,421_1,idrest_second_AP_voltage_stim_250
383,-19.103250500998666,430_1,idrest_second_AP_voltage_stim_250
388,-9.723000143113962,435_1,idrest_second_AP_voltage_stim_250
403,-19.637008249933384,450_1,idrest_second_AP_voltage_stim_250
440,-16.475481454098524,489_1,idrest_second_AP_voltage_stim_250
456,-17.883136854405933,505_1,idrest_second_AP_voltage_stim_250
466,-19.455397242158963,515_1,idrest_second_AP_voltage_stim_250
520,-19.27123011553393,570_1,idrest_second_AP_voltage_stim_250
521,-18.4560671560293,571_1,idrest_second_AP_voltage_stim_250
525,-5.279689392452897,575_1,idrest_second_AP_voltage_stim_250
529,-15.535417126835643,579_1,idrest_second_AP_voltage_stim_250
532,-14.318303163628716,583_1,idrest_second_AP_voltage_stim_250
533,-13.854583601430638,584_1,idrest_second_AP_voltage_stim_250
544,-18.292186946233077,596_1,idrest_second_AP_voltage_stim_250
545,-18.7275798560559,597_1,idrest_second_AP_voltage_stim_250
546,-16.52562428316893,598_1,idrest_second_AP_voltage_stim_250
558,-17.348480471381578,610_1,idrest_second_AP_voltage_stim_250
566,-18.04303515713949,618_1,idrest_second_AP_voltage_stim_250
567,-17.06900077816842,619_1,idrest_second_AP_voltage_stim_250
568,-10.79510855623536,620_1,idrest_second_AP_voltage_stim_250
569,-16.59375042831809,621_1,idrest_second_AP_voltage_stim_250
571,-16.245765602350108,623_1,idrest_second_AP_voltage_stim_250
579,-8.095766148000454,631_1,idrest_second_AP_voltage_stim_250
589,-19.529952585810467,721_1,idrest_second_AP_voltage_stim_250
629,-19.329734033659765,761_1,idrest_second_AP_voltage_stim_250
640,-19.0412448663832,772_1,idrest_second_AP_voltage_stim_250
28,-19.798354825000462,80_1,idrest_second_AP_voltage_stim_275
