feature_value,id,feature,median,treshold_min,treshold_max
851.7289146894284,117_1,apwaveform_second_fall_tau_stim_140,0.2031674618766824,-278.0878163182216,278.4941512419749
727.2373238444702,217_2,apwaveform_second_fall_tau_stim_140,0.2031674618766824,-278.0878163182216,278.4941512419749
1005.5193838276624,555_2,apwaveform_second_fall_tau_stim_180,1.2125328517632652,-250.64092744751068,253.0659931510372
100.0,358_1,apwaveform_second_fall_tau_stim_220,1.2111444492200605,-65.77470612218231,68.19699502062242
100.0,370_1,apwaveform_second_fall_tau_stim_220,1.2111444492200605,-65.77470612218231,68.19699502062242
100.0,418_1,apwaveform_second_fall_tau_stim_220,1.2111444492200605,-65.77470612218231,68.19699502062242
98.79926367951646,571_2,apwaveform_second_fall_tau_stim_220,1.2111444492200605,-65.77470612218231,68.19699502062242
120.77066724114,780_1,apwaveform_second_fall_tau_stim_220,1.2111444492200605,-65.77470612218231,68.19699502062242
4.0,431_1,apwaveform_spikecount_stim_60,0.0,-3.616602176434357,3.616602176434357
12.0,458_1,apwaveform_spikecount_stim_60,0.0,-3.616602176434357,3.616602176434357
5.0,54_1,apwaveform_spikecount_stim_100,0.0,-4.968602682034311,4.968602682034311
12.0,107_2,apwaveform_spikecount_stim_100,0.0,-4.968602682034311,4.968602682034311
5.0,115_2,apwaveform_spikecount_stim_100,0.0,-4.968602682034311,4.968602682034311
5.0,219_1,apwaveform_spikecount_stim_100,0.0,-4.968602682034311,4.968602682034311
67.27457813653217,272_1,apwaveform_tau_mean_stim_60,0.0,-39.22346507151913,39.22346507151913
100.0,512_1,apwaveform_tau_mean_stim_60,0.0,-39.22346507151913,39.22346507151913
319.1169489681002,109_2,apwaveform_tau_mean_stim_100,0.0,-312.36803775680016,312.36803775680016
1208.7041066997322,217_2,apwaveform_tau_mean_stim_100,0.0,-312.36803775680016,312.36803775680016
641241437715599.2,555_2,apwaveform_tau_mean_stim_140,7.337763767119151,-155523892895538.84,155523892895553.53
176.0804479124879,224_1,apwaveform_tau_mean_stim_180,4.34282611590888,-138.98927875241174,147.6749309842295
504.58759556259264,555_2,apwaveform_tau_mean_stim_180,4.34282611590888,-138.98927875241174,147.6749309842295
7604053610138.476,322_1,apwaveform_tau_mean_stim_220,3.2111148457311742,-1844253895139.4841,1844253895145.9065
20.24309994609402,107_2,apwaveform_tau_stdev_stim_60,0.0,-5.853970917823273,5.853970917823273
12.221408916361227,485_1,apwaveform_tau_stdev_stim_60,0.0,-5.853970917823273,5.853970917823273
33.862901231275806,111_2,apwaveform_tau_stdev_stim_100,0.0,-19.361306766879153,19.361306766879153
42.81935717147224,206_1,apwaveform_tau_stdev_stim_100,0.0,-19.361306766879153,19.361306766879153
38.661059231825085,241_1,apwaveform_tau_stdev_stim_100,0.0,-19.361306766879153,19.361306766879153
38.89543200318989,245_1,apwaveform_tau_stdev_stim_100,0.0,-19.361306766879153,19.361306766879153
425.70497613407866,117_1,apwaveform_tau_stdev_stim_140,0.0044578976118284,-145.78668020061673,145.79559599584036
353.9494334906153,217_2,apwaveform_tau_stdev_stim_140,0.0044578976118284,-145.78668020061673,145.79559599584036
145.46380077074576,107_2,apwaveform_tau_stdev_stim_180,0.33363895076335537,-139.82237848029865,140.48965638182534
500.9317882650699,555_2,apwaveform_tau_stdev_stim_180,0.33363895076335537,-139.82237848029865,140.48965638182534
17003180776814.05,322_1,apwaveform_tau_stdev_stim_220,0.5648929611372233,-4123877077308.306,4123877077309.436
-47.4218528687822,213_1,idrest_AP_mean_stim_50,0.0,-43.21634446517146,43.21634446517146
39.64250156800642,300_2,idrest_AP_stdev_stim_50,0.0,-21.005656792666834,21.005656792666834
36.868739001951056,300_2,idrest_AP_stdev_stim_125,1.2115903878902452,-31.52038789938334,33.94356867516383
28.572500386573054,300_2,idrest_AP_stdev_stim_150,1.430033055005296,-24.45031009914665,27.310376209157244
29.910678963363782,347_1,idrest_AP_stdev_stim_150,1.430033055005296,-24.45031009914665,27.310376209157244
43.47647516028167,300_2,idrest_AP_stdev_stim_200,1.790779059391726,-19.751250568899767,23.332808687683222
49.64284062034316,300_2,idrest_AP_stdev_stim_225,1.9071488960481848,-20.42289070082215,24.23718849291852
22.268267889418784,266_1,idrest_AP_stdev_stim_300,2.461379432810144,-17.180143108431363,22.10290197405165
-79.28500313601285,300_2,idrest_first_AP_voltage_stim_50,0.0,-56.954180763604526,56.954180763604526
4214.200000000605,552_1,idrest_first_ISI_stim_50,0.0,-1377.8474818414898,1377.8474818414898
2718.5999999975274,622_1,idrest_first_ISI_stim_50,0.0,-1377.8474818414898,1377.8474818414898
2238.699999997964,552_1,idrest_first_ISI_stim_75,0.0,-2068.308244537833,2068.308244537833
2300.699999998614,584_1,idrest_first_ISI_stim_75,0.0,-2068.308244537833,2068.308244537833
2078.2999999987937,586_1,idrest_first_ISI_stim_75,0.0,-2068.308244537833,2068.308244537833
3024.100000002415,613_1,idrest_first_ISI_stim_75,0.0,-2068.308244537833,2068.308244537833
2103.399999998087,621_1,idrest_first_ISI_stim_75,0.0,-2068.308244537833,2068.308244537833
4509.700000001167,628_1,idrest_first_ISI_stim_75,0.0,-2068.308244537833,2068.308244537833
2978.19999999807,230_1,idrest_first_ISI_stim_100,0.0,-2743.9572256299152,2743.9572256299152
3338.5999999997694,497_1,idrest_first_ISI_stim_100,0.0,-2743.9572256299152,2743.9572256299152
3204.8000000003194,546_1,idrest_first_ISI_stim_100,0.0,-2743.9572256299152,2743.9572256299152
4334.599999999694,598_1,idrest_first_ISI_stim_125,157.3000000000357,-2762.985245577017,3077.5852455770882
4938.400000003419,743_1,idrest_first_ISI_stim_125,157.3000000000357,-2762.985245577017,3077.5852455770882
